Matriz A|B: 
25.9912 3.597 9.8469 4.2332 34.7726 27.3573 42.4294 23.7293 32.5902 5.2457 15.5347 30.4976 23.8243 2.6875 3.1043 8.26 22.7991 28.6107 1.9863 22.3779 |40.4554
27.515 11.6134 21.8972 3.9585 47.0922 14.4264 13.874 20.5405 5.8629 9.4681 39.0348 16.536 11.3016 40.0497 3.8644 24.1319 23.7222 43.7957 0.9373 13.2087 |10.1067
24.0127 12.7567 38.8971 27.4739 24.1394 24.671 21.4854 31.284 44.3081 48.467 23.1294 45.4513 15.062 43.9511 35.4743 44.6662 45.4353 20.8848 6.953 39.5928 |48.7878
17.2247 24.1012 39.3125 40.5014 23.8175 28.1473 19.417 34.4578 13.5618 26.2925 20.0502 25.928 30.4854 2.6948 44.9628 11.1522 32.9802 2.6331 31.4438 7.3993 |30.4491
38.301 2.5536 5.3225 11.5662 3.8627 45.2881 38.9639 41.9614 7.9155 1.6839 24.1143 49.5188 2.2456 41.3303 41.1228 0.8342 2.339 40.4997 3.2865 28.6288 |49.0677
29.4035 18.7453 14.1898 14.5555 14.8429 6.2584 40.2102 15.0716 8.5625 16.0001 32.6796 25.9817 3.1318 4.4688 28.8178 28.2966 21.9404 46.9778 6.0105 44.2187 |43.4887
47.4318 27.8799 4.1246 35.6247 29.6943 17.3475 49.8659 17.7255 48.7461 35.9461 0.4752 3.0264 33.6818 27.0865 29.9132 49.8034 12.0512 17.8282 44.7058 0.859 |43.3943
26.0571 42.346 26.8624 31.302 23.3236 38.2144 3.7498 17.4426 43.6287 47.8138 13.9971 20.8457 29.8216 37.2478 27.5096 31.5582 27.0015 19.1845 26.213 24.6012 |30.3153
35.545 33.7343 30.1752 7.1046 5.7773 16.5032 49.2501 34.6238 47.7127 34.9745 16.0034 31.7337 45.7497 37.9706 46.8178 47.497 19.1735 14.9837 27.3104 7.9055 |33.671
36.4029 40.765 27.4499 43.7357 20.4064 24.801 24.0493 4.8495 6.613 39.5465 7.0996 16.5272 2.2924 19.8485 4.6905 8.5942 44.1106 32.1502 3.4548 28.9755 |26.78
20.5734 28.5464 7.9724 9.7784 2.3351 32.5191 25.6488 8.9284 11.9055 45.8057 5.6992 17.495 12.6232 20.0658 30.9219 37.0543 42.1311 17.5571 47.2811 4.5041 |40.7279
16.9235 2.488 16.7162 3.2648 20.8257 19.8963 37.5233 0.8241 20.3117 8.3805 16.4194 23.7695 13.9425 42.4739 37.1793 17.9694 18.9548 40.3722 5.2048 26.7414 |17.5335
24.9236 35.073 19.7356 41.2959 18.8251 13.0565 38.1969 9.8102 6.6108 35.7143 32.8824 43.8445 44.2042 43.6896 49.2848 23.3128 27.369 27.762 38.2494 25.0142 |33.5339
8.1347 49.8483 37.7969 14.2606 32.7716 39.9544 14.6147 3.6723 31.1751 27.1158 25.5338 10.034 46.4516 39.6304 1.1259 46.6044 44.7934 31.5724 32.706 7.3429 |17.1401
27.5424 3.3831 9.471 36.8023 43.4264 41.4315 18.1645 20.452 4.3419 46.0158 14.6602 5.6187 33.4496 8.1363 40.1052 12.5039 17.3538 4.2424 11.4864 3.9262 |0.9459
28.0826 19.5612 6.933 41.8091 20.494 14.9644 33.6951 32.0018 41.491 48.9065 5.843 8.6043 38.8255 5.4775 29.762 12.8112 9.7328 40.4439 2.2981 48.1627 |32.749
32.6374 6.9866 22.8888 11.758 5.123 22.8841 43.3391 21.9157 30.3355 20.726 0.7067 37.361 25.7343 32.7891 42.9858 7.2287 23.7361 49.701 31.2349 44.4439 |5.8962
17.9171 36.9246 13.3357 9.284 11.7589 7.9458 41.5403 13.6596 22.3272 27.6684 1.1278 33.5705 26.3999 40.1055 21.5612 13.2327 22.7153 40.5347 22.6012 2.7225 |34.1086
6.182 29.2679 32.4382 4.7003 14.1065 0.4651 37.9867 40.4509 9.3526 32.5984 47.7834 0.1777 46.9684 47.6789 0.9149 40.5299 39.0676 9.2677 42.9246 28.1954 |36.2167
49.0218 44.2264 49.3287 28.8533 49.3146 2.9371 46.475 42.784 35.5059 10.5379 39.8764 21.7893 33.5127 44.3185 27.8742 29.3751 0.9935 33.8722 38.0926 19.1896 |28.7823


Método de Gauss-Jacobi


 Sistema não oedece aos critérios de convergência suficientes
logo a convergência não é uma certeza 

iteração: 0

iteração: 1
x(k-1).1 = 0.0  x(k).1 = 1.5565037397272923
x(k-1).8 = 1.9970365364166032e+17  x(k).8 = -5.134119844368668e+18
x(k-1).9 = 6.139209764531326e+16  x(k).9 = -1.5783105771607288e+18
x(k-1).10 = 6.747707549693396e+16  x(k).10 = -1.734747394839835e+18
x(k-1).11 = 3.9299482909081005e+17  x(k).11 = -1.0103383294984569e+19
x(k-1).12 = 9.617236613644914e+16  x(k).12 = -2.472465792176748e+18
x(k-1).13 = 7.426306828945997e+16  x(k).13 = -1.9092064007635287e+18
x(k-1).14 = 9.534497711665874e+16  x(k).14 = -2.451194699713384e+18
x(k-1).15 = 7.537055514723013e+16  x(k).15 = -1.937678421300378e+18
x(k-1).16 = 2.0849106860260333e+17  x(k).16 = -5.36003278963418e+18
x(k-1).17 = 9.76308398887002e+16  x(k).17 = -2.5099612581401334e+18
x(k-1).18 = 4.975158963422823e+16  x(k).18 = -1.2790483321726505e+18
x(k-1).19 = 7.313536292458181e+16  x(k).19 = -1.8802145656839834e+18
x(k-1).20 = 2.2211153594928842e+17  x(k).20 = -5.710197204333262e+18
dr = 1.0388973493214582  precisão: 1e-10


iteração: 15
x(k-1).1 = -2.6199953341666806e+18  x(k).1 = 6.735665480753796e+19
x(k-1).2 = -7.135289207852995e+18  x(k).2 = 1.8343895722367392e+20
x(k-1).3 = -2.3991766312403466e+18  x(k).3 = 6.1679694560180445e+19
x(k-1).4 = -1.8802182763168236e+18  x(k).4 = 4.833795372662472e+19
x(k-1).5 = -1.7175065129946704e+19  x(k).5 = 4.4154846994437354e+20
x(k-1).6 = -1.0592312024079553e+19  x(k).6 = 2.7231449395295624e+20
x(k-1).7 = -1.5086242666273828e+18  x(k).7 = 3.87847575302015e+19
x(k-1).8 = -5.134119844368668e+18  x(k).8 = 1.3199150890769305e+20
x(k-1).9 = -1.5783105771607288e+18  x(k).9 = 4.057630143636475e+19
x(k-1).10 = -1.734747394839835e+18  x(k).10 = 4.459808751661306e+19
x(k-1).11 = -1.0103383294984569e+19  x(k).11 = 2.597447752649986e+20
x(k-1).12 = -2.472465792176748e+18  x(k).12 = 6.356386309578192e+19
x(k-1).13 = -1.9092064007635287e+18  x(k).13 = 4.9083200477659726e+19
x(k-1).14 = -2.451194699713384e+18  x(k).14 = 6.301701111044432e+19
x(k-1).15 = -1.937678421300378e+18  x(k).15 = 4.981517898218326e+19
x(k-1).16 = -5.36003278963418e+18  x(k).16 = 1.3779943542996827e+20
x(k-1).17 = -2.5099612581401334e+18  x(k).17 = 6.45278224284073e+19
x(k-1).18 = -1.2790483321726505e+18  x(k).18 = 3.2882660372587405e+19
x(k-1).19 = -1.8802145656839834e+18  x(k).19 = 4.833785834221135e+19
x(k-1).20 = -5.710197204333262e+18  x(k).20 = 1.4680170472460539e+20
dr = 1.0388973494395992  precisão: 1e-10


iteração: 16
x(k-1).1 = 6.735665480753796e+19  x(k).1 = -1.7316515337194462e+21
x(k-1).2 = 1.8343895722367392e+20  x(k).2 = -4.715975763922109e+21
x(k-1).3 = 6.1679694560180445e+19  x(k).3 = -1.585704308060582e+21
x(k-1).4 = 4.833795372662472e+19  x(k).4 = -1.2427055940924395e+21
x(k-1).5 = 4.4154846994437354e+20  x(k).5 = -1.1351633889729322e+22
x(k-1).6 = 2.7231449395295624e+20  x(k).6 = -7.000849619681538e+21
x(k-1).7 = 3.87847575302015e+19  x(k).7 = -9.971054097053998e+20
x(k-1).8 = 1.3199150890769305e+20  x(k).8 = -3.3933291309488826e+21
x(k-1).9 = 4.057630143636475e+19  x(k).9 = -1.043163661365199e+21
x(k-1).10 = 4.459808751661306e+19  x(k).10 = -1.1465585234832336e+21
x(k-1).11 = 2.597447752649986e+20  x(k).11 = -6.67769858786173e+21
x(k-1).12 = 6.356386309578192e+19  x(k).12 = -1.634143817691563e+21
x(k-1).13 = 4.9083200477659726e+19  x(k).13 = -1.2618649138290203e+21
x(k-1).14 = 6.301701111044432e+19  x(k).14 = -1.6200849682476145e+21
x(k-1).15 = 4.981517898218326e+19  x(k).15 = -1.2806831239046685e+21
x(k-1).16 = 1.3779943542996827e+20  x(k).16 = -3.542643328206856e+21
x(k-1).17 = 6.45278224284073e+19  x(k).17 = -1.6589259522926523e+21
x(k-1).18 = 3.2882660372587405e+19  x(k).18 = -8.453702081848468e+20
x(k-1).19 = 4.833785834221135e+19  x(k).19 = -1.2427031416701266e+21
x(k-1).20 = 1.4680170472460539e+20  x(k).20 = -3.7740799023145676e+21
dr = 1.0388973494241984  precisão: 1e-10


iteração: 17
x(k-1).1 = -1.7316515337194462e+21  x(k).1 = 4.451849700203089e+22
x(k-1).2 = -4.715975763922109e+21  x(k).2 = 1.2124157131136284e+23
x(k-1).3 = -1.585704308060582e+21  x(k).3 = 4.076638463829542e+22
x(k-1).4 = -1.2427055940924395e+21  x(k).4 = 3.1948336131939634e+22
x(k-1).5 = -1.1351633889729322e+22  x(k).5 = 2.9183566637393164e+23
x(k-1).6 = -7.000849619681538e+21  x(k).6 = 1.7998269093621384e+23
x(k-1).7 = -9.971054097053998e+20  x(k).7 = 2.5634276484076246e+22
x(k-1).8 = -3.3933291309488826e+21  x(k).8 = 8.723805557338075e+22
x(k-1).9 = -1.043163661365199e+21  x(k).9 = 2.681837391866515e+22
x(k-1).10 = -1.1465585234832336e+21  x(k).10 = 2.9476520646401587e+22
x(k-1).11 = -6.67769858786173e+21  x(k).11 = 1.7167490037520593e+23
x(k-1).12 = -1.634143817691563e+21  x(k).12 = 4.201170110213477e+22
x(k-1).13 = -1.2618649138290203e+21  x(k).13 = 3.244089719373905e+22
x(k-1).14 = -1.6200849682476145e+21  x(k).14 = 4.1650266461820456e+22
x(k-1).15 = -1.2806831239046685e+21  x(k).15 = 3.2924688772969167e+22
x(k-1).16 = -3.542643328206856e+21  x(k).16 = 9.107672837730949e+22
x(k-1).17 = -1.6589259522926523e+21  x(k).17 = 4.26488173808593e+22
x(k-1).18 = -8.453702081848468e+20  x(k).18 = 2.1733362828706908e+22
x(k-1).19 = -1.2427031416701266e+21  x(k).19 = 3.1948273085258547e+22
x(k-1).20 = -3.7740799023145676e+21  x(k).20 = 9.702666012189678e+22
dr = 1.038897349425359  precisão: 1e-10


iteração: 18
x(k-1).1 = 4.451849700203089e+22  x(k).1 = -1.1445123551973624e+24
x(k-1).2 = 1.2124157131136284e+23  x(k).2 = -3.116962289228929e+24
x(k-1).3 = 4.076638463829542e+22  x(k).3 = -1.0480504517734295e+24
x(k-1).4 = 3.1948336131939634e+22  x(k).4 = -8.21349953246666e+23
x(k-1).5 = 2.9183566637393164e+23  x(k).5 = -7.502713441504584e+24
x(k-1).6 = 1.7998269093621384e+23  x(k).6 = -4.6271196776460255e+24
x(k-1).7 = 2.5634276484076246e+22  x(k).7 = -6.590237345974207e+23
x(k-1).8 = 8.723805557338075e+22  x(k).8 = -2.2427763552718812e+24
x(k-1).9 = 2.681837391866515e+22  x(k).9 = -6.89465331568234e+23
x(k-1).10 = 2.9476520646401587e+22  x(k).10 = -7.578028087290911e+23
x(k-1).11 = 1.7167490037520593e+23  x(k).11 = -4.413537243879351e+24
x(k-1).12 = 4.201170110213477e+22  x(k).12 = -1.0800659099535647e+24
x(k-1).13 = 3.244089719373905e+22  x(k).13 = -8.340130541776368e+23
x(k-1).14 = 4.1650266461820456e+22  x(k).14 = -1.0707738978947847e+24
x(k-1).15 = 3.2924688772969167e+22  x(k).15 = -8.464507031792715e+23
x(k-1).16 = 9.107672837730949e+22  x(k).16 = -2.3414636144247234e+24
x(k-1).17 = 4.26488173808593e+22  x(k).17 = -1.0964453365346115e+24
x(k-1).18 = 2.1733362828706908e+22  x(k).18 = -5.587363445054515e+23
x(k-1).19 = 3.1948273085258547e+22  x(k).19 = -8.213483323855357e+23
x(k-1).20 = 9.702666012189678e+22  x(k).20 = -2.494428580735138e+24
dr = 1.0388973494255442  precisão: 1e-10


iteração: 19
x(k-1).1 = -1.1445123551973624e+24  x(k).1 = 2.9423916336274477e+25
x(k-1).2 = -3.116962289228929e+24  x(k).2 = 8.013302539311507e+25
x(k-1).3 = -1.0480504517734295e+24  x(k).3 = 2.6944006911909444e+25
x(k-1).4 = -8.21349953246666e+23  x(k).4 = 2.1115833479097602e+25
x(k-1).5 = -7.502713441504584e+24  x(k).5 = 1.928849536622182e+26
x(k-1).6 = -4.6271196776460255e+24  x(k).6 = 1.1895719749551039e+26
x(k-1).7 = -6.590237345974207e+23  x(k).7 = 1.69426386201234e+25
x(k-1).8 = -2.2427763552718812e+24  x(k).8 = 5.765884792652893e+25
x(k-1).9 = -6.89465331568234e+23  x(k).9 = 1.7725252279454803e+25
x(k-1).10 = -7.578028087290911e+23  x(k).10 = 1.948211947396668e+25
x(k-1).11 = -4.413537243879351e+24  x(k).11 = 1.1346627235684017e+26
x(k-1).12 = -1.0800659099535647e+24  x(k).12 = 2.7767082485250913e+25
x(k-1).13 = -8.340130541776368e+23  x(k).13 = 2.1441385248534135e+25
x(k-1).14 = -1.0707738978947847e+24  x(k).14 = 2.7528197003371253e+25
x(k-1).15 = -8.464507031792715e+23  x(k).15 = 2.176114094356917e+25
x(k-1).16 = -2.3414636144247234e+24  x(k).16 = 6.019596833744005e+25
x(k-1).17 = -1.0964453365346115e+24  x(k).17 = 2.8188176128424774e+25
x(k-1).18 = -5.587363445054515e+23  x(k).18 = 1.436438093488431e+25
x(k-1).19 = -8.213483323855357e+23  x(k).19 = 2.1115791808962028e+25
x(k-1).20 = -2.494428580735138e+24  x(k).20 = 6.412849763753629e+25
dr = 1.0388973494254166  precisão: 1e-10


iteração: 20
x(k-1).1 = 2.9423916336274477e+25  x(k).1 = -7.564504206815592e+26
x(k-1).2 = 8.013302539311507e+25  x(k).2 = -2.0601153183116637e+27
x(k-1).3 = 2.6944006911909444e+25  x(k).3 = -6.926951915719733e+26
x(k-1).4 = 2.1115833479097602e+25  x(k).4 = -5.4286047226870896e+26
x(k-1).5 = 1.928849536622182e+26  x(k).5 = -4.95881998416994e+27
x(k-1).6 = 1.1895719749551039e+26  x(k).6 = -3.058234025005819e+27
x(k-1).7 = 1.69426386201234e+25  x(k).7 = -4.355730884080505e+26
x(k-1).8 = 5.765884792652893e+25  x(k).8 = -1.4823335980016444e+27
x(k-1).9 = 1.7725252279454803e+25  x(k).9 = -4.556930624135172e+26
x(k-1).10 = 1.948211947396668e+25  x(k).10 = -5.0085982108665254e+26
x(k-1).11 = 1.1346627235684017e+26  x(k).11 = -2.9170695184350344e+27
x(k-1).12 = 2.7767082485250913e+25  x(k).12 = -7.138553884877567e+26
x(k-1).13 = 2.1441385248534135e+25  x(k).13 = -5.512299826399378e+26
x(k-1).14 = 2.7528197003371253e+25  x(k).14 = -7.07713955063808e+26
x(k-1).15 = 2.176114094356917e+25  x(k).15 = -5.594504835164483e+26
x(k-1).16 = 6.019596833744005e+25  x(k).16 = -1.5475596467777298e+27
x(k-1).17 = 2.8188176128424774e+25  x(k).17 = -7.246811555233042e+26
x(k-1).18 = 1.436438093488431e+25  x(k).18 = -3.692894540903919e+26
x(k-1).19 = 2.1115791808962028e+25  x(k).19 = -5.4285940098349905e+26
x(k-1).20 = 6.412849763753629e+25  x(k).20 = -1.6486598337615375e+27
dr = 1.0388973494254612  precisão: 1e-10


iteração: 21
x(k-1).1 = -7.564504206815592e+26  x(k).1 = 1.944735134539896e+28
x(k-1).2 = -2.0601153183116637e+27  x(k).2 = 5.296287147431594e+28
x(k-1).3 = -6.926951915719733e+26  x(k).3 = 1.7808287757488027e+28
x(k-1).4 = -5.4286047226870896e+26  x(k).4 = 1.3956233015545347e+28
x(k-1).5 = -4.95881998416994e+27  x(k).5 = 1.2748477871671209e+29
x(k-1).6 = -3.058234025005819e+27  x(k).6 = 7.862319850012908e+28
x(k-1).7 = -4.355730884080505e+26  x(k).7 = 1.1198014642175313e+28
x(k-1).8 = -1.4823335980016444e+27  x(k).8 = 3.8108858827063995e+28
x(k-1).9 = -4.556930624135172e+26  x(k).9 = 1.1715272869348127e+28
x(k-1).10 = -5.0085982108665254e+26  x(k).10 = 1.2876451184585927e+28
x(k-1).11 = -2.9170695184350344e+27  x(k).11 = 7.4994043592237e+28
x(k-1).12 = -7.138553884877567e+26  x(k).12 = 1.8352288755713225e+28
x(k-1).13 = -5.512299826399378e+26  x(k).13 = 1.4171402185036358e+28
x(k-1).14 = -7.07713955063808e+26  x(k).14 = 1.8194400531586185e+28
x(k-1).15 = -5.594504835164483e+26  x(k).15 = 1.4382740515227296e+28
x(k-1).16 = -1.5475596467777298e+27  x(k).16 = 3.978573526568174e+28
x(k-1).17 = -7.246811555233042e+26  x(k).17 = 1.8630605072774333e+28
x(k-1).18 = -3.692894540903919e+26  x(k).18 = 9.493949061957134e+27
x(k-1).19 = -5.4285940098349905e+26  x(k).19 = 1.395620547420598e+28
x(k-1).20 = -1.6486598337615375e+27  x(k).20 = 4.238488889638409e+28
dr = 1.0388973494254485  precisão: 1e-10


iteração: 22
x(k-1).1 = 1.944735134539896e+28  x(k).1 = -4.9996597795619206e+29
x(k-1).2 = 5.296287147431594e+28  x(k).2 = -1.3616061828537214e+30
x(k-1).3 = 1.7808287757488027e+28  x(k).3 = -4.578277959946464e+29
x(k-1).4 = 1.3956233015545347e+28  x(k).4 = -3.5879650468969246e+29
x(k-1).5 = 1.2748477871671209e+29  x(k).5 = -3.2774669893906645e+30
x(k-1).6 = 7.862319850012908e+28  x(k).6 = -2.0212996428153293e+30
x(k-1).7 = 1.1198014642175313e+28  x(k).7 = -2.878863163578046e+29
x(k-1).8 = 3.8108858827063995e+28  x(k).8 = -9.797289375745876e+29
x(k-1).9 = 1.1715272869348127e+28  x(k).9 = -3.0118434912386198e+29
x(k-1).10 = 1.2876451184585927e+28  x(k).10 = -3.3103672550399776e+29
x(k-1).11 = 7.4994043592237e+28  x(k).11 = -1.9279988148284566e+30
x(k-1).12 = 1.8352288755713225e+28  x(k).12 = -4.7181335044143374e+29
x(k-1).13 = 1.4171402185036358e+28  x(k).13 = -3.643282227288122e+29
x(k-1).14 = 1.8194400531586185e+28  x(k).14 = -4.677542506194987e+29
x(k-1).15 = 1.4382740515227296e+28  x(k).15 = -3.697614548979226e+29
x(k-1).16 = 3.978573526568174e+28  x(k).16 = -1.022839238491901e+30
x(k-1).17 = 1.8630605072774333e+28  x(k).17 = -4.789684990870889e+29
x(k-1).18 = 9.493949061957134e+27  x(k).18 = -2.4407701815654042e+29
x(k-1).19 = 1.395620547420598e+28  x(k).19 = -3.587957966378498e+29
x(k-1).20 = 4.238488889638409e+28  x(k).20 = -1.089660080248316e+30
dr = 1.0388973494254519  precisão: 1e-10


iteração: 23
x(k-1).1 = -4.9996597795619206e+29  x(k).1 = 1.2853471646298173e+31
x(k-1).2 = -1.3616061828537214e+30  x(k).2 = 3.500511482056922e+31
x(k-1).3 = -4.578277959946464e+29  x(k).3 = 1.1770154078804218e+31
x(k-1).4 = -3.5879650468969246e+29  x(k).4 = 9.224189051167721e+30
x(k-1).5 = -3.2774669893906645e+30  x(k).5 = 8.425939139303352e+31
x(k-1).6 = -2.0212996428153293e+30  x(k).6 = 5.196497120425303e+31
x(k-1).7 = -2.878863163578046e+29  x(k).7 = 7.401180815920462e+30
x(k-1).8 = -9.797289375745876e+29  x(k).8 = 2.518755010421177e+31
x(k-1).9 = -3.0118434912386198e+29  x(k).9 = 7.743055852715601e+30
x(k-1).10 = -3.3103672550399776e+29  x(k).10 = 8.510521420963307e+30
x(k-1).11 = -1.9279988148284566e+30  x(k).11 = 4.956632889661454e+31
x(k-1).12 = -4.7181335044143374e+29  x(k).12 = 1.2129704399156778e+31
x(k-1).13 = -3.643282227288122e+29  x(k).13 = 9.366402289880129e+30
x(k-1).14 = -4.677542506194987e+29  x(k).14 = 1.2025350249532346e+31
x(k-1).15 = -3.697614548979226e+29  x(k).15 = 9.5060835856332e+30
x(k-1).16 = -1.022839238491901e+30  x(k).16 = 2.6295859579127015e+31
x(k-1).17 = -4.789684990870889e+29  x(k).17 = 1.2313653916317812e+31
x(k-1).18 = -2.4407701815654042e+29  x(k).18 = 6.274901034692028e+30
x(k-1).19 = -3.587957966378498e+29  x(k).19 = 9.224170848080615e+30
x(k-1).20 = -1.089660080248316e+30  x(k).20 = 2.801373606026058e+31
dr = 1.038897349425451  precisão: 1e-10


iteração: 24
x(k-1).1 = 1.2853471646298173e+31  x(k).1 = -3.3044595161766895e+32
x(k-1).2 = 3.500511482056922e+31  x(k).2 = -8.999357369493365e+32
x(k-1).3 = 1.1770154078804218e+31  x(k).3 = -3.0259527326822996e+32
x(k-1).4 = 9.224189051167721e+30  x(k).4 = -2.37141840958762e+32
x(k-1).5 = 8.425939139303352e+31  x(k).5 = -2.166198793429899e+33
x(k-1).6 = 5.196497120425303e+31  x(k).6 = -1.3359514715481227e+33
x(k-1).7 = 7.401180815920462e+30  x(k).7 = -1.9027468260029453e+32
x(k-1).8 = 2.518755010421177e+31  x(k).8 = -6.475389834077273e+32
x(k-1).9 = 7.743055852715601e+30  x(k).9 = -1.990638428347303e+32
x(k-1).10 = 8.510521420963307e+30  x(k).10 = -2.1879437922304135e+32
x(k-1).11 = 4.956632889661454e+31  x(k).11 = -1.2742855137626036e+33
x(k-1).12 = 1.2129704399156778e+31  x(k).12 = -3.1183884193456445e+32
x(k-1).13 = 9.366402289880129e+30  x(k).13 = -2.4079795739890545e+32
x(k-1).14 = 1.2025350249532346e+31  x(k).14 = -3.0915603317854824e+32
x(k-1).15 = 9.5060835856332e+30  x(k).15 = -2.4438898089578386e+32
x(k-1).16 = 2.6295859579127015e+31  x(k).16 = -6.760321710229753e+32
x(k-1).17 = 1.2313653916317812e+31  x(k).17 = -3.1656794352832672e+32
x(k-1).18 = 6.274901034692028e+30  x(k).18 = -1.613195019038047e+32
x(k-1).19 = 9.224170848080615e+30  x(k).19 = -2.3714137298119052e+32
x(k-1).20 = 2.801373606026058e+31  x(k).20 = -7.20196529430634e+32
dr = 1.0388973494254512  precisão: 1e-10


iteração: 25
x(k-1).1 = -3.3044595161766895e+32  x(k).1 = 8.495333396713476e+33
x(k-1).2 = -8.999357369493365e+32  x(k).2 = 2.3136171236400347e+34
x(k-1).3 = -3.0259527326822996e+32  x(k).3 = 7.77932886784921e+33
x(k-1).4 = -2.37141840958762e+32  x(k).4 = 6.096606695869005e+33
x(k-1).5 = -2.166198793429899e+33  x(k).5 = 5.569013892788596e+34
x(k-1).6 = -1.3359514715481227e+33  x(k).6 = 3.4345565733432436e+34
x(k-1).7 = -1.9027468260029453e+32  x(k).7 = 4.8917133277928355e+33
x(k-1).8 = -6.475389834077273e+32  x(k).8 = 1.664738068203774e+34
x(k-1).9 = -1.990638428347303e+32  x(k).9 = 5.117671146622647e+33
x(k-1).10 = -2.1879437922304135e+32  x(k).10 = 5.624917441800822e+33
x(k-1).11 = -1.2742855137626036e+33  x(k).11 = 3.2760214579783655e+34
x(k-1).12 = -3.1183884193456445e+32  x(k).12 = 8.016968933377328e+33
x(k-1).13 = -2.4079795739890545e+32  x(k).13 = 6.19060066960109e+33
x(k-1).14 = -3.0915603317854824e+32  x(k).14 = 7.947997427718365e+33
x(k-1).15 = -2.4438898089578386e+32  x(k).15 = 6.282921188863226e+33
x(k-1).16 = -6.760321710229753e+32  x(k).16 = 1.7379903284120348e+34
x(k-1).17 = -3.1656794352832672e+32  x(k).17 = 8.138547952606541e+33
x(k-1).18 = -1.613195019038047e+32  x(k).18 = 4.1473134875933427e+33
x(k-1).19 = -2.3714137298119052e+32  x(k).19 = 6.096594664777471e+33
x(k-1).20 = -7.20196529430634e+32  x(k).20 = 1.851531119905558e+34
dr = 1.0388973494254512  precisão: 1e-10


iteração: 26
x(k-1).1 = 8.495333396713476e+33  x(k).1 = -2.1840391497614094e+35
x(k-1).2 = 2.3136171236400347e+34  x(k).2 = -5.9480071465388824e+35
x(k-1).3 = 7.77932886784921e+33  x(k).3 = -1.9999637463109686e+35
x(k-1).4 = 6.096606695869005e+33  x(k).4 = -1.5673578755162942e+35
x(k-1).5 = 5.569013892788596e+34  x(k).5 = -1.4317206635022545e+36
x(k-1).6 = 3.4345565733432436e+34  x(k).6 = -8.829795922022283e+35
x(k-1).7 = 4.8917133277928355e+33  x(k).7 = -1.2575955431534144e+35
x(k-1).8 = 1.664738068203774e+34  x(k).8 = -4.2798239283484705e+35
x(k-1).9 = 5.117671146622647e+33  x(k).9 = -1.3156863442407399e+35
x(k-1).10 = 5.624917441800822e+33  x(k).10 = -1.4460927350798744e+35
x(k-1).11 = 3.2760214579783655e+34  x(k).11 = -8.422222867028598e+35
x(k-1).12 = 8.016968933377328e+33  x(k).12 = -2.0610579002927384e+35
x(k-1).13 = 6.19060066960109e+33  x(k).13 = -1.5915224973017016e+35
x(k-1).14 = 7.947997427718365e+33  x(k).14 = -2.043326227909469e+35
x(k-1).15 = 6.282921188863226e+33  x(k).15 = -1.6152568958213417e+35
x(k-1).16 = 1.7379903284120348e+34  x(k).16 = -4.4681459124688846e+35
x(k-1).17 = 8.138547952606541e+33  x(k).17 = -2.092314276633297e+35
x(k-1).18 = 4.1473134875933427e+33  x(k).18 = -1.0662200763941231e+35
x(k-1).19 = 6.096594664777471e+33  x(k).19 = -1.5673547824799535e+35
x(k-1).20 = 1.851531119905558e+34  x(k).20 = -4.760044443270142e+35
dr = 1.0388973494254512  precisão: 1e-10


iteração: 27
x(k-1).1 = -2.1840391497614094e+35  x(k).1 = 5.614879116499279e+36
x(k-1).2 = -5.9480071465388824e+35  x(k).2 = 1.5291548741485726e+37
x(k-1).3 = -1.9999637463109686e+35  x(k).3 = 5.141645319931134e+36
x(k-1).4 = -1.5673578755162942e+35  x(k).4 = 4.029472184268543e+36
x(k-1).5 = -1.4317206635022545e+36  x(k).5 = 3.6807666451572083e+37
x(k-1).6 = -8.829795922022283e+35  x(k).6 = 2.2700250923125386e+37
x(k-1).7 = -1.2575955431534144e+35  x(k).7 = 3.2331137255603064e+36
x(k-1).8 = -4.2798239283484705e+35  x(k).8 = 1.100286778293462e+37
x(k-1).9 = -1.3156863442407399e+35  x(k).9 = 3.382457580463993e+36
x(k-1).10 = -1.4460927350798744e+35  x(k).10 = 3.717715362203248e+36
x(k-1).11 = -8.422222867028598e+35  x(k).11 = 2.1652433884139686e+37
x(k-1).12 = -2.0610579002927384e+35  x(k).12 = 5.298710402473222e+36
x(k-1).13 = -1.5915224973017016e+35  x(k).13 = 4.091596267637564e+36
x(k-1).14 = -2.043326227909469e+35  x(k).14 = 5.253124590984311e+36
x(k-1).15 = -1.6152568958213417e+35  x(k).15 = 4.1526143032369534e+36
x(k-1).16 = -4.4681459124688846e+35  x(k).16 = 1.1487018983214592e+37
x(k-1).17 = -2.092314276633297e+35  x(k).17 = 5.379066459639698e+36
x(k-1).18 = -1.0662200763941231e+35  x(k).18 = 2.7411124206228783e+36
x(k-1).19 = -1.5673547824799535e+35  x(k).19 = 4.0294642324764876e+36
x(k-1).20 = -4.760044443270142e+35  x(k).20 = 1.223745194359071e+37
dr = 1.0388973494254512  precisão: 1e-10


iteração: 28
x(k-1).1 = 5.614879116499279e+36  x(k).1 = -1.4435120128841932e+38
x(k-1).2 = 1.5291548741485726e+37  x(k).2 = -3.931257262347091e+38
x(k-1).3 = 5.141645319931134e+36  x(k).3 = -1.3218497907641168e+38
x(k-1).4 = 4.029472184268543e+36  x(k).4 = -1.0359246179463315e+38
